liste,nomNuance,nuance,annee,election,tour,region,inscrits,votants,exprimes,voix,clef,voixPourcent,participationPourcent,blancsNulsPourcent,Couleur,codeCouleur
Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,53,2453683,2048612,2000330,3400,Présidentielles12017,0.17,83.49,1.97,Gris,#E0E0E0
Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,75,4329942,3483794,3389374,6262,Présidentielles12017,0.18,80.46,2.18,Gris,#E0E0E0
Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,76,4194937,3400379,3316240,5524,Présidentielles12017,0.17,81.06,2.01,Gris,#E0E0E0
Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,84,5416712,4297161,4187716,7597,Présidentielles12017,0.18,79.33,2.02,Gris,#E0E0E0
Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,93,3567740,2810838,2750937,4569,Présidentielles12017,0.17,78.78,1.68,Gris,#E0E0E0
Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,94,233656,158991,154376,253,Présidentielles12017,0.16,68.04,1.98,Gris,#E0E0E0
Jacques CHEMINADE,Solidarité et progrès,SP,2017,Présidentielles,1,ROM,432238,186961,178413,486,Présidentielles12017,0.27,43.25,1.98,Gris,#E0E0E0
Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,01,316345,126651,112242,650,Présidentielles12017,0.58,40.04,4.55,Gris,#E0E0E0
Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,02,310812,123957,109264,870,Présidentielles12017,0.8,39.88,4.73,Gris,#E0E0E0
Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,03,92935,31925,26839,273,Présidentielles12017,1.02,34.35,5.47,Gris,#E0E0E0
Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,04,639481,375252,350480,1939,Présidentielles12017,0.55,58.68,3.87,Gris,#E0E0E0
