election,tour,region,inscrits,votants,exprimes,liste,nuance,nomNuance,voix,annee,clef,voixPourcent,participationPourcent,blancsNulsPourcent,nom,Couleur,codeCouleur
Européennes,1,02,301572,45909,39362,ENVIE D'EUROPE,,,3329,2019,Européennes-2019-T1,8.46,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,ESPERANTO,,,186,2019,Européennes-2019-T1,0.47,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,EUROPE AU SERVICE PEUPLES,,,0,2019,Européennes-2019-T1,0.0,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,EUROPE ÉCOLOGIE,,,4273,2019,Européennes-2019-T1,10.86,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,ÉVOLUTION CITOYENNE,,,2,2019,Européennes-2019-T1,0.01,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,INITIATIVE CITOYENNE,,,7,2019,Européennes-2019-T1,0.02,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,LA FRANCE INSOUMISE,,,5099,2019,Européennes-2019-T1,12.95,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,LA LIGNE CLAIRE,,,1,2019,Européennes-2019-T1,0.0,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,LES EUROPÉENS,,,1270,2019,Européennes-2019-T1,3.23,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,LES OUBLIES DE L'EUROPE,,,3,2019,Européennes-2019-T1,0.01,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,LISTE CITOYENNE,,,1964,2019,Européennes-2019-T1,4.99,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,LISTE DE LA RECONQUÊTE,,,16,2019,Européennes-2019-T1,0.04,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,LUTTE OUVRIÈRE,,,2614,2019,Européennes-2019-T1,6.64,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,NEUTRE ET ACTIF,,,0,2019,Européennes-2019-T1,0.0,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,PACE,,,5,2019,Européennes-2019-T1,0.01,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,PARTI ANIMALISTE,,,24,2019,Européennes-2019-T1,0.06,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,PARTI FED. EUROPÉEN,,,0,2019,Européennes-2019-T1,0.0,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,PARTI PIRATE,,,9,2019,Européennes-2019-T1,0.02,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,POUR L'EUROPE DES GENS,,,971,2019,Européennes-2019-T1,2.47,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,PRENEZ LE POUVOIR,,,6363,2019,Européennes-2019-T1,16.17,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,RENAISSANCE,,,7164,2019,Européennes-2019-T1,18.2,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,RÉVOLUTIONNAIRE,,,2,2019,Européennes-2019-T1,0.01,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,UDLEF,,,2,2019,Européennes-2019-T1,0.01,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,UNE FRANCE ROYALE,,,1,2019,Européennes-2019-T1,0.0,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,UNION DROITE-CENTRE,,,2885,2019,Européennes-2019-T1,7.33,15.22,2.17,Martinique,,
Européennes,1,02,301572,45909,39362,URGENCE ÉCOLOGIE,,,1086,2019,Européennes-2019-T1,2.76,15.22,2.17,Martinique,,
Présidentielles,1,02,310812,123957,109264,Benoît HAMON,PS,Parti Socialiste,10661,2017,Présidentielles-2017-T1,9.76,39.88,4.73,Martinique,Rose,#FF5E9A
Présidentielles,1,02,310812,123957,109264,Emmanuel MACRON,EM,En Marche !,27893,2017,Présidentielles-2017-T1,25.53,39.88,4.73,Martinique,Jaune,#FFCE3E
Présidentielles,1,02,310812,123957,109264,François ASSELINEAU,UPR,Union Populaire Républicaine,1407,2017,Présidentielles-2017-T1,1.29,39.88,4.73,Martinique,Gris,#E0E0E0
Présidentielles,1,02,310812,123957,109264,François FILLON,LR,Les Républicains,18400,2017,Présidentielles-2017-T1,16.84,39.88,4.73,Martinique,Bleu,#045BFF
Présidentielles,1,02,310812,123957,109264,Jacques CHEMINADE,SP,Solidarité et progrès,373,2017,Présidentielles-2017-T1,0.34,39.88,4.73,Martinique,Gris,#E0E0E0
Présidentielles,1,02,310812,123957,109264,Jean LASSALLE,Résistons,Résistons,870,2017,Présidentielles-2017-T1,0.8,39.88,4.73,Martinique,Gris,#E0E0E0
Présidentielles,1,02,310812,123957,109264,Jean-Luc MÉLENCHON,LFI,France insoumise,29903,2017,Présidentielles-2017-T1,27.37,39.88,4.73,Martinique,Rouge,#EE4A40
Présidentielles,1,02,310812,123957,109264,Marine LE PEN,FN,Front National,11949,2017,Présidentielles-2017-T1,10.94,39.88,4.73,Martinique,Bleu marine,#0C295A
